"Date","Zone_ID","Zone_name","Zone_desc","Station_ID","Station_order","Station_name","Station_address","Station_description","Station_latitude","Station_longitude","Station_type","Station_capacity","Station_bikes","Station_places","Station_picture","Station_bikes_state","Station_places_state","Station_closed","Station_cdo"
"2020-06-05T18:44:40-05:00[America/Bogota]","1","Zona 1","Comuna 4 - Aranjuez",1,0,"Moravia","CALLE 82A # 52-29","Frente a la entrada principal del Centro de Desarrollo Cultural de Moravia","6.276585","-75.564804","manual",15,30,0,"http://encicla.metropol.gov.co/imgstations/moravia.jpg","0","0",0,0
"2020-06-05T18:44:40-05:00[America/Bogota]","1","Zona 1","Comuna 4 - Aranjuez",2,1,"Universidad","CALLE 73 # 52-2","Bajo el viaducto de la estacin Universidad del Metro","6.269267","-75.5653","manual",33,54,0,"http://encicla.metropol.gov.co/imgstations/universidad.jpg","0","0",0,0
"2020-06-05T18:44:40-05:00[America/Bogota]","1","Zona 1","Comuna 4 - Aranjuez",3,2,"Ruta N","CARRERA 52 # 67A-13","Frente a la fachada principal de Ruta N sobre la ciclorruta de la Avenida Carabobo.","6.265182","-75.566348","automatica",40,34,6,"http://encicla.metropol.gov.co/imgstations/ruta_n.jpg","0","0",0,0
"2020-06-05T18:44:40-05:00[America/Bogota]","2","Zona 2 Noroccidental","Comuna 7 Robledo",4,0,"Punto Cero","CARRERA 64 # 65-59","Intercambio vial de Punto Cero al lado de la estacin de polica","6.265161","-75.575066","manual",10,4,0,"http://encicla.metropol.gov.co/imgstations/punto_cero.jpg","warning","0",0,0
"2020-06-05T18:44:40-05:00[America/Bogota]","2","Zona 2 Noroccidental","Comuna 7 Robledo",5,1,"Universidad Nacional","CALLE 59A # 64E-44","Portera de la Iguan con Carrera 65 de la Universidad Nacional","6.259663","-75.578812","manual",33,8,0,"http://encicla.metropol.gov.co/imgstations/universidad_nacional.jpg","0","0",0,0
"2020-06-05T18:44:40-05:00[America/Bogota]","2","Zona 2 Noroccidental","Comuna 7 Robledo",70,2,"Campus Nacional","CALLE 59A # 64E-44","Portera de la Iguan con Carrera 65 de la Universidad Nacional","6.260703","-75.57858","manual",33,5,0,"0","warning","0",0,0
"2020-06-05T18:44:40-05:00[America/Bogota]","2","Zona 2 Noroccidental","Comuna 7 Robledo",13,3,"Robledo","CARRERA 77B # 60-22","Diagonal al Colegio Mayor de Antioquia","6.271922","-75.591324","manual",21,15,0,"0","0","0",0,0
"2020-06-05T18:44:40-05:00[America/Bogota]","3","Zona 3 - Centro oriental","Comuna 10 La Candelaria",55,0,"SIU-UdeA","CARRERA 52 # 61-21","Costado oriental de la SIU sobre la ciclorruta de Carabobo","6.260481","-75.567179","automatica",20,12,8,"http://encicla.metropol.gov.co/imgstations/SIU_UdeA.jpg","0","0",0,0
"2020-06-05T18:44:40-05:00[America/Bogota]","3","Zona 3 - Centro oriental","Comuna 10 La Candelaria",67,1,"Museo de Antioquia","CARRERA 52 # 52-36","Plazoleta de Botero frente a la entrada principal del Museo de Antioquia","6.251826","-75.568796","manual",20,11,0,"http://encicla.metropol.gov.co/imgstations/museo_de_antioquia.jpg","0","0",0,0
"2020-06-05T18:44:40-05:00[America/Bogota]","3","Zona 3 - Centro oriental","Comuna 10 La Candelaria",89,1,"Málaga","CARRERA 48 # 27-4","Bajo la estacin San Antonio","6.24655","-75.569954","automatica",20,11,9,"http://encicla.metropol.gov.co/imgstations/malaga.jpg","0","0",0,0
"2020-06-05T18:44:40-05:00[America/Bogota]","3","Zona 3 - Centro oriental","Comuna 10 La Candelaria",95,1,"San Antonio","CARRERA 51 entre Cll 46 y Cll 47","Bajo la estacin San Antonio del Metro","6.24841132","-75.56905568","automatica",20,15,5,"http://encicla.metropol.gov.co/imgstations/san_antonio.jpg","0","warning",0,0
"2020-06-05T18:44:40-05:00[America/Bogota]","3","Zona 3 - Centro oriental","Comuna 10 La Candelaria",96,1,"Parque Berrio","CARRERA 51 con Cll 50","Bajo la estacin Parque Berro del Metro","6.25004308","-75.56840926","automatica",20,7,13,"http://encicla.metropol.gov.co/imgstations/parque_berrio.jpg","0","0",0,0
"2020-06-05T18:44:40-05:00[America/Bogota]","3","Zona 3 - Centro oriental","Comuna 10 La Candelaria",97,1,"Palacio de la Cultura","CARRERA  51 con Cll 51","Paseo Bolvar, diagonal al palacio de la Cultura","6.25066699","-75.56807131","automatica",20,7,13,"http://encicla.metropol.gov.co/imgstations/palacio_de_la_cultura.jpg","0","0",0,0
"2020-06-05T18:44:40-05:00[America/Bogota]","3","Zona 3 - Centro oriental","Comuna 10 La Candelaria",102,1,"Distrito Creativo","CARRERA  46 # 34 - 46","Posterior al Hospital General de Medelln","6.23461583","-75.57196051","automatica",24,0,24,"http://encicla.metropol.gov.co/imgstations/distrito_creativo.jpg","danger","danger",0,0
"2020-06-05T18:44:40-05:00[America/Bogota]","3","Zona 3 - Centro oriental","Comuna 10 La Candelaria",43,1,"Cisneros - Unaula","Carrera 57 con Calle 48","Frente a la estacin Cisneros del Metropls","6.250576","-75.574814","manual",33,5,0,"http://encicla.metropol.gov.co/imgstations/cisneros_unaula.jpg","warning","0",0,0
"2020-06-05T18:44:40-05:00[America/Bogota]","3","Zona 3 - Centro oriental","Comuna 10 La Candelaria",36,2,"Parque de Las Luces I","CALLE 44 # 52A-14","Plaza de Cisneros frente a los edificios Carr y Vsquez","6.246078","-75.571561","automatica",28,12,16,"http://encicla.metropol.gov.co/imgstations/parque_de_las_luces_I.jpg","0","0",0,0
"2020-06-05T18:44:40-05:00[America/Bogota]","3","Zona 3 - Centro oriental","Comuna 10 La Candelaria",41,3,"Parque de Las Luces II","CALLE 44 # 52A-14","Plaza de Cisneros frente a los edificios Carr y Vsquez","6.245594","-75.571763","automatica",28,14,14,"http://encicla.metropol.gov.co/imgstations/parque_de_las_luces_II.jpg","0","0",0,0
"2020-06-05T18:44:40-05:00[America/Bogota]","3","Zona 3 - Centro oriental","Comuna 10 La Candelaria",19,4,"Plaza de La Libertad","CALLE 42C # 53A-24","Costado sur de la Plaza de la Libertad al lado de La Alpujarra","6.2434627","-75.5746534","automatica",38,17,21,"http://encicla.metropol.gov.co/imgstations/plaza_de_la_libertad.jpg","0","0",0,0
"2020-06-05T18:44:40-05:00[America/Bogota]","3","Zona 3 - Centro oriental","Comuna 10 La Candelaria",34,5,"Área Metropolitana","CALLE 41 CON CARRERA 53","Al frente del edificio del rea Metropolitana sobre el costado norte de la Calle Los Huesos","6.242481","-75.573872","manual",21,6,0,"http://encicla.metropol.gov.co/imgstations/area_metropolitana.jpg","0","0",0,0
"2020-06-05T18:44:40-05:00[America/Bogota]","3","Zona 3 - Centro oriental","Comuna 10 La Candelaria",35,6,"Plaza Mayor","CALLE 41 # 55-80","Costado sur de Plaza Mayor sobre la Avenida Ferrocarril,  salida puente peatonal de Metropls","6.2426281","-75.5756351","automatica",20,1,19,"http://encicla.metropol.gov.co/imgstations/plaza_mayor.jpg","warning","0",0,0
"2020-06-05T18:44:40-05:00[America/Bogota]","3","Zona 3 - Centro oriental","Comuna 10 La Candelaria",33,7,"Pies Descalzos I","CARRERA 57A CON CALLE 42A","En el tnel verde EPM al costado norte de Pies Descalzos","6.245512","-75.577011","automatica",24,22,2,"http://encicla.metropol.gov.co/imgstations/pies_descalzos.jpg","0","warning",0,0
"2020-06-05T18:44:40-05:00[America/Bogota]","3","Zona 3 - Centro oriental","Comuna 10 La Candelaria",37,8,"Pies Descalzos II","CARRERA 57A CON CALLE 42A","En el tnel verde EPM al costado norte de Pies Descalzos","6.245322","-75.576857","automatica",30,22,8,"http://encicla.metropol.gov.co/imgstations/pies_descalzos_II.jpg","0","0",0,0
"2020-06-05T18:44:40-05:00[America/Bogota]","3","Zona 3 - Centro oriental","Comuna 10 La Candelaria",63,9,"Palacé","CARRERA 50 CON CALLE 35","Plazuela al frente de la Iglesia del Perpetuo Socorro","6.236338","-75.573291","automatica",34,1,33,"http://encicla.metropol.gov.co/imgstations/palace.jpg","warning","0",0,0
"2020-06-05T18:44:40-05:00[America/Bogota]","4","Zona 4 - Centro occidental","Comuna 11 Laureles - Estadio",62,0,"Otra Banda","CARRERA 64A CON CALLE 50","Parque Carlos E. Restrepo en el costado Norte de la Calle 50 Av. Colombia","6.255589","-75.579259","automatica",40,21,19,"http://encicla.metropol.gov.co/imgstations/otrabanda.jpg","0","0",0,0
